no,rumpun_ilmu,kelompok_prodi_resmi,mapel_kurmer,mapel_k13_ipa,mapel_k13_ips,mapel_k13_bahasa,sumber
1,Humaniora,Seni,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,Kepmendikdasmen 102/M/2025
2,Humaniora,Sejarah,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,Kepmendikdasmen 102/M/2025
3,Humaniora,Linguistik,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Kepmendikdasmen 102/M/2025
4,Humaniora,Susastra atau Sastra,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Kepmendikdasmen 102/M/2025
5,Humaniora,Filsafat,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,Kepmendikdasmen 102/M/2025
6,Ilmu Sosial,Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,Kepmendikdasmen 102/M/2025
7,Ilmu Sosial,Ekonomi,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,Kepmendikdasmen 102/M/2025
8,Ilmu Sosial,Pertahanan,Pendidikan Pancasila,PPKn,PPKn,PPKn,Kepmendikdasmen 102/M/2025
9,Ilmu Sosial,Psikologi,Sosiologi dan/atau Matematika,Matematika,Sosiologi,Matematika,Kepmendikdasmen 102/M/2025
10,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,Kimia,Kepmendikdasmen 102/M/2025
11,Ilmu Alam,Ilmu atau Sains Kebumian,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,Kepmendikdasmen 102/M/2025
12,Ilmu Alam,Ilmu atau Sains Kelautan,Biologi,Biologi,Biologi dan/atau Geografi,Biologi,Kepmendikdasmen 102/M/2025
13,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,Biologi,Kepmendikdasmen 102/M/2025
14,Ilmu Alam,Biofisika,Fisika,Fisika,Fisika,Fisika,Kepmendikdasmen 102/M/2025
15,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,Fisika,Kepmendikdasmen 102/M/2025
16,Ilmu Alam,Astronomi,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Matematika,Fisika dan/atau Matematika,Kepmendikdasmen 102/M/2025
17,Ilmu Formal,Komputer,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,Kepmendikdasmen 102/M/2025
18,Ilmu Formal,Logika,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,Kepmendikdasmen 102/M/2025
