prodi_id,nama_prodi_spesifik,alias,kelompok_prodi_resmi,rumpun_ilmu,mapel_kurmer,mapel_k13_ipa,mapel_k13_ips,mapel_k13_bahasa,confidence_score,catatan_mapping,sumber_mapel
P0001,Seni Rupa,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0002,Seni Murni,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0003,Seni Lukis,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0004,Seni Patung,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0005,Seni Grafis,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0006,Seni Musik,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0007,Seni Tari,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0008,Seni Karawitan,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0009,Seni Teater,Teater,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0010,Seni Pedalangan,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0011,Seni Pertunjukan,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,1.0,,Kepmendikdasmen 102/M/2025
P0012,Etnomusikologi,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,,Kepmendikdasmen 102/M/2025
P0013,Film,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,Sering butuh portofolio sesuai aturan kampus/SNPMB.,Kepmendikdasmen 102/M/2025
P0014,Film dan Televisi,Televisi dan Film,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,Sering butuh portofolio sesuai aturan kampus/SNPMB.,Kepmendikdasmen 102/M/2025
P0015,Fotografi,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,Bisa juga dipetakan ke Desain bila kurikulum kampus berbasis desain.,Kepmendikdasmen 102/M/2025
P0016,Kriya,Kriya Seni,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,,Kepmendikdasmen 102/M/2025
P0017,Kriya Tekstil,,Seni,Humaniora,Seni Budaya,Seni Budaya,Seni Budaya,Seni Budaya,0.9,,Kepmendikdasmen 102/M/2025
P0018,Sejarah,,Sejarah,Humaniora,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,1.0,,Kepmendikdasmen 102/M/2025
P0019,Ilmu Sejarah,,Sejarah,Humaniora,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,1.0,,Kepmendikdasmen 102/M/2025
P0020,Arkeologi,,Sejarah,Humaniora,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,0.9,,Kepmendikdasmen 102/M/2025
P0021,Pendidikan Sejarah,,Sejarah,Humaniora,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,0.85,Kelompok resmi pendidikan; mapel relevan Sejarah.,Kepmendikdasmen 102/M/2025
P0022,Sejarah Peradaban Islam,SPI,Sejarah,Humaniora,Sejarah,Sejarah Indonesia,Sejarah Indonesia,Sejarah Indonesia,0.85,Mapping humaniora; verifikasi prodi keagamaan per kampus.,Kepmendikdasmen 102/M/2025
P0023,Linguistik,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,1.0,,Kepmendikdasmen 102/M/2025
P0024,Linguistik Indonesia,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,1.0,,Kepmendikdasmen 102/M/2025
P0025,Bahasa Indonesia,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.95,,Kepmendikdasmen 102/M/2025
P0026,Bahasa Inggris,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.95,,Kepmendikdasmen 102/M/2025
P0027,Bahasa Jepang,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0028,Bahasa Korea,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0029,Bahasa Arab,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0030,Bahasa Mandarin,Bahasa Cina,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0031,Bahasa Jerman,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0032,Bahasa Prancis,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.9,,Kepmendikdasmen 102/M/2025
P0033,Bahasa Daerah,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.85,,Kepmendikdasmen 102/M/2025
P0034,Pendidikan Bahasa Indonesia,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.85,Kelompok resmi pendidikan; mapel relevan Bahasa Indonesia.,Kepmendikdasmen 102/M/2025
P0035,Pendidikan Bahasa Inggris,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.85,Kelompok resmi pendidikan; mapel relevan Bahasa Inggris.,Kepmendikdasmen 102/M/2025
P0036,Pendidikan Bahasa Arab,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.85,Kelompok resmi pendidikan; mapel relevan Bahasa Arab.,Kepmendikdasmen 102/M/2025
P0037,Pendidikan Bahasa Jepang,,Linguistik,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,Bahasa Indonesia dan/atau Bahasa Inggris,0.85,Kelompok resmi pendidikan; mapel relevan Bahasa Jepang.,Kepmendikdasmen 102/M/2025
P0038,Sastra Indonesia,Bahasa dan Sastra Indonesia,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0039,Sastra Inggris,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0040,Sastra Jepang,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0041,Sastra Korea,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0042,Sastra Arab,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0043,Sastra Cina,Sastra Mandarin,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0044,Sastra Jerman,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0045,Sastra Prancis,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0046,Sastra Rusia,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0047,Sastra Belanda,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0048,Sastra Jawa,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0049,Sastra Sunda,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0050,Sastra Bali,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0051,Bahasa dan Sastra Inggris,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0052,Bahasa dan Sastra Arab,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0053,Bahasa dan Sastra Indonesia,,Susastra atau Sastra,Humaniora,Bahasa Indonesia Tingkat Lanjut dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,Bahasa Indonesia dan/atau bahasa asing yang relevan,1.0,,Kepmendikdasmen 102/M/2025
P0054,Filsafat,Ilmu Filsafat,Filsafat,Humaniora,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,1.0,,Kepmendikdasmen 102/M/2025
P0055,Filsafat Keilahian,Teologi Filsafat,Filsafat,Humaniora,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.8,Verifikasi dengan prodi agama/teologi per kampus.,Kepmendikdasmen 102/M/2025
P0056,Aqidah dan Filsafat Islam,,Filsafat,Humaniora,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.8,Prodi keagamaan; mapping humaniora butuh validasi.,Kepmendikdasmen 102/M/2025
P0057,Sosiologi,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,1.0,,Kepmendikdasmen 102/M/2025
P0058,Antropologi,Antropologi Sosial,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.9,Bisa juga Studi Humanitas.,Kepmendikdasmen 102/M/2025
P0059,Pembangunan Sosial,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.9,,Kepmendikdasmen 102/M/2025
P0060,Kesejahteraan Sosial,Ilmu Kesejahteraan Sosial,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.9,,Kepmendikdasmen 102/M/2025
P0061,Sosiatri,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.85,,Kepmendikdasmen 102/M/2025
P0062,Kriminologi,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.85,Bisa juga Hukum tergantung kurikulum.,Kepmendikdasmen 102/M/2025
P0063,Ilmu Keluarga dan Konsumen,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.8,,Kepmendikdasmen 102/M/2025
P0064,Studi Gender,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.8,Bisa juga Studi Humanitas.,Kepmendikdasmen 102/M/2025
P0065,Kajian Budaya,,Sosial,Ilmu Sosial,Sosiologi,Sejarah Indonesia,Sosiologi,Antropologi,0.8,Bisa juga Studi Humanitas.,Kepmendikdasmen 102/M/2025
P0066,Ekonomi,Ilmu Ekonomi,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0067,Ekonomi Pembangunan,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0068,Ekonomi Islam,Ekonomi Syariah,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0069,Ekonomi Keuangan,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0070,Ekonomi Keuangan dan Perbankan,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0071,Ekonomi Sumber Daya,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0072,Ekonomi Digital,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,Bisa juga Bisnis tergantung struktur prodi.,Kepmendikdasmen 102/M/2025
P0073,Perbankan,Keuangan dan Perbankan,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0074,Perbankan Syariah,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0075,Keuangan,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
